"ensembl"	"external_gene_name"	"Mia_HighGluc_CONT_Rep1"	"Mia_HighGluc_CONT_Rep2"	"Mia_HighGluc_CONT_Rep3"	"Mia_HighGluc_KO_Rep1"	"Mia_HighGluc_KO_Rep2"	"Mia_HighGluc_KO_Rep3"	"Mia_LowGluc_CONT_Rep1"	"Mia_LowGluc_CONT_Rep2"	"Mia_LowGluc_CONT_Rep3"	"Mia_LowGluc_KO_Rep1"	"Mia_LowGluc_KO_Rep2"	"Mia_LowGluc_KO_Rep3"
"ENSG00000004897"	"CDC27"	41.05	43.83	39.36	34.22	39.96	33.38	29.03	32.81	38.25	31.53	29.41	34.24
"ENSG00000004939"	"SLC4A1"	0	0	0.01	0.04	0.02	0.01	0.01	0.04	0.02	0.01	0.04	0
"ENSG00000004948"	"CALCR"	0	0.01	0	0	0.01	0.01	0.02	0.02	0.02	0	0	0
"ENSG00000004961"	"HCCS"	24.95	27.49	21.71	27.48	26.52	29.24	31.89	38.63	38.98	31.85	30.46	35.16
"ENSG00000004975"	"DVL2"	15.45	15.27	15.54	15.59	14.96	15.3	12.39	12.77	13.78	22.99	24.05	24.86
"ENSG00000005001"	"PRSS22"	0	0	0	0	0.03	0.02	0.04	0	0.01	0.09	0.17	0.07
"ENSG00000005007"	"UPF1"	26	29.95	27.74	22.99	23.47	23.58	13.82	17.74	17.92	13.78	13.35	15.3
"ENSG00000005020"	"SKAP2"	24.45	20.28	24.24	2.45	2.61	2.85	2.68	3.66	3.67	2.25	2.75	2.63
"ENSG00000005022"	"SLC25A5"	480.57	473.6	381.45	327.26	331.53	348.19	262.3	344.49	374.59	310.07	289.36	332.41
"ENSG00000005059"	"MCUB"	20.16	19.38	16.48	12.14	14.53	13.45	8.28	8.52	11.82	8.93	8.76	8.75
"ENSG00000005073"	"HOXA11"	0.33	0.36	0.35	0.19	0.16	0.21	0.18	0.3	0.21	0.22	0.26	0.26
"ENSG00000005075"	"POLR2J"	48.66	49.1	39.73	33.11	38.05	36.11	24.46	29.51	32.5	30.76	28.3	32.65
"ENSG00000005100"	"DHX33"	10.04	10.85	9.8	9.34	9.16	10.27	6.19	7.79	8.23	7.39	7.37	8.17
"ENSG00000005102"	"MEOX1"	0.08	0.08	0.06	0.03	0.06	0.07	0.01	0.03	0.02	0.01	0.01	0.01
"ENSG00000005108"	"THSD7A"	0	0	0	0	0	0	0	0	0	0.01	0.03	0
"ENSG00000005156"	"LIG3"	22.87	22.93	21.9	10.84	9.7	10.39	8	8.5	9.09	11.81	10.74	11.54
"ENSG00000005175"	"RPAP3"	12.25	13.49	10.31	7.74	6.61	8.6	9.38	10.82	10.75	9.71	10.82	10.7
"ENSG00000005187"	"ACSM3"	0.16	0.24	0.16	0.04	0.08	0.07	0.02	0.05	0.05	0.05	0.04	0.01
"ENSG00000005189"	"REXO5"	4.41	4.46	4.01	2.69	2.55	2.71	2.55	2.77	3.04	1.64	1.68	1.59
"ENSG00000005194"	"CIAPIN1"	36.78	38.92	31.57	25.24	29.56	27.02	35.03	43.86	42.24	25.4	25.37	26.83
"ENSG00000005206"	"SPPL2B"	12.26	14.16	17.09	18.21	16.72	17.03	9.3	10.62	9.61	9.82	10.75	11.31
"ENSG00000005238"	"FAM214B"	2.79	2.67	2.61	2.78	3.05	2.92	6.79	6.71	4.8	3.47	3.36	3.65
"ENSG00000005243"	"COPZ2"	3.49	3	2.87	2.39	1.83	2.45	1.74	1.67	1.97	0.64	0.41	0.75
"ENSG00000005249"	"PRKAR2B"	18.16	19	14.17	2.1	1.93	2.09	4.14	4.84	6.2	0.74	0.81	0.89
"ENSG00000005302"	"MSL3"	9.36	9.27	8.22	8.43	8	8.72	7.58	9.39	9.96	7.15	7.74	8.57
"ENSG00000005339"	"CREBBP"	3.21	3.41	3.93	3.46	3.15	4.24	2.07	2.42	2.13	2.34	1.85	2.46
"ENSG00000005379"	"TSPOAP1"	0.02	0	0	0	0.01	0	0.05	0	0	0	0	0
"ENSG00000005381"	"MPO"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000005421"	"PON1"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000005436"	"GCFC2"	16.2	16.17	14.02	13.59	12.47	14.12	15.44	17.36	18.5	27.92	30.01	30.16
"ENSG00000005448"	"WDR54"	38.51	34.72	30.79	23.66	27.49	26.56	20.59	26.4	30.59	9.53	9.33	9.9
"ENSG00000005469"	"CROT"	3.04	2.7	2.44	2.2	1.72	2.26	1.8	2.29	2.82	1.72	1.78	2.06
"ENSG00000005471"	"ABCB4"	0.01	0	0.03	0	0	0	0.01	0	0	0	0	0
"ENSG00000005483"	"KMT2E"	7.43	6.92	7.31	7.98	5.81	9.22	5.16	6.29	6.1	7.24	7.83	8.6
"ENSG00000005486"	"RHBDD2"	28.08	25.02	23.19	16.61	18.86	18.2	21.78	23.3	18.38	20.85	20.25	22.4
"ENSG00000005513"	"SOX8"	4.5	5.08	4.44	6.66	6.79	6.94	5.78	6.31	6.35	7.96	7.87	8.22
"ENSG00000005700"	"IBTK"	12.65	12.47	11.84	12.18	9.83	12.76	24.98	23.73	18.25	19.5	21.07	22.11
"ENSG00000005801"	"ZNF195"	5.6	5.67	5.7	7.01	6.62	7.36	9.56	10.83	9.01	5.55	6.28	6.03
"ENSG00000005810"	"MYCBP2"	3.52	3.66	2.92	2.91	2.93	3.26	3.32	3.63	3.55	2.81	2.91	3.12
"ENSG00000005812"	"FBXL3"	8.72	8.92	7.35	6.92	6.67	7.09	8.4	9.67	10.48	7.62	7.64	9.29
"ENSG00000005844"	"ITGAL"	0.01	0.07	0	0.01	0.01	0	0.08	0.09	0.05	0.02	0.03	0.05
"ENSG00000005882"	"PDK2"	4.28	3.55	3.61	4.06	3.94	4.15	1.63	2.73	2.43	1.52	1.66	2
"ENSG00000005884"	"ITGA3"	51.48	55.49	53.39	6.84	6.6	7.49	17.85	22.62	21.99	2.37	3.03	3.2
"ENSG00000005889"	"ZFX"	11.27	12.06	12.41	12.51	12.74	12.88	16.41	16.91	17.06	16.8	16.58	18.47
"ENSG00000005893"	"LAMP2"	48.27	46.92	39.49	28.3	25.37	30.59	39.27	44.59	46.6	49.72	52.02	56.08
"ENSG00000005961"	"ITGA2B"	0.04	0.08	0.09	0.05	0.09	0.02	0.05	0.04	0.09	0.01	0.05	0.01
"ENSG00000005981"	"ASB4"	0	0	0	0.01	0.01	0.02	0	0	0	0	0.01	0
"ENSG00000006007"	"GDE1"	19.4	20.6	17.01	14.9	15.25	15.77	11.65	14.18	15.18	13.58	15.34	15.68
"ENSG00000006015"	"REX1BD"	17.77	16.33	15.59	15.3	17.21	17.71	12.36	15.68	15.08	9.63	10.47	9.43
"ENSG00000006016"	"CRLF1"	56	49.19	46.54	37.72	39.22	41.79	16.87	21.43	23.32	13.44	12.23	14.59
"ENSG00000006025"	"OSBPL7"	0.04	0.04	0.07	0.28	0.08	0.18	0.02	0.01	0.02	0.01	0.06	0.04
"ENSG00000006042"	"TMEM98"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006047"	"YBX2"	0	0.01	0	0.04	0	0	0	0.03	0	0	0	0.01
"ENSG00000006059"	"KRT33A"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006062"	"MAP3K14"	5.31	5.84	5.26	6.74	7.39	7.29	10.44	12.24	10.27	6.71	6.15	7.21
"ENSG00000006071"	"ABCC8"	0.09	0.09	0.05	0.12	0.04	0.07	0.02	0.01	0.08	0.01	0.04	0.01
"ENSG00000006116"	"CACNG3"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006118"	"TMEM132A"	10.85	9.96	10.49	15.19	15.23	16.29	7.63	9.97	10.65	5.61	5.87	6.27
"ENSG00000006125"	"AP2B1"	90.74	90.08	79.44	27.81	25.75	30.48	22.77	27.22	30.47	22.62	21.29	27.4
"ENSG00000006128"	"TAC1"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006194"	"ZNF263"	12.74	13.73	12.16	12.55	12.85	12.62	30.41	29.6	18.21	20.41	20.15	21.23
"ENSG00000006210"	"CX3CL1"	0.14	0.1	0.09	0.03	0.05	0.05	0.02	0.05	0.1	0.04	0.07	0.1
"ENSG00000006282"	"SPATA20"	16.38	14.73	15.66	25.02	22.98	24.77	15.42	16.96	17.54	15.78	17.78	17.45
"ENSG00000006283"	"CACNA1G"	0.05	0.04	0.07	0.06	0.03	0.06	0.11	0.1	0.1	0.11	0.18	0.13
"ENSG00000006327"	"TNFRSF12A"	38.99	49.29	36.31	34.73	39.38	35.53	85.75	107.54	88.48	51.38	47.98	48.8
"ENSG00000006377"	"DLX6"	0.25	0.21	0.28	0.42	0.34	0.5	0.1	0.08	0.1	0.2	0.19	0.23
"ENSG00000006432"	"MAP3K9"	0.31	0.35	0.3	0.81	0.72	0.72	0.38	0.42	0.52	0.96	0.94	0.93
"ENSG00000006451"	"RALA"	11.79	11.77	10.32	8.48	9.05	9.85	8.95	10.88	10.81	5.85	5.19	6.56
"ENSG00000006453"	"BAIAP2L1"	2.98	2.89	3.05	7.16	6.95	6.75	2.65	3.57	3.13	6.89	6.78	7.12
"ENSG00000006459"	"KDM7A"	1.31	0.91	1.29	0.58	0.41	0.41	1.9	1.6	1.87	2.34	2.27	2.62
"ENSG00000006468"	"ETV1"	11.47	11.9	10.94	1.78	1.83	1.46	2.38	2.45	3.42	2	1.93	2.02
"ENSG00000006530"	"AGK"	12.8	13.7	11.1	13.85	15.28	15.13	9.19	11.93	12.75	11.32	10.67	11.39
"ENSG00000006534"	"ALDH3B1"	1.35	1.07	1.13	1.75	1.54	1.65	0.83	1.05	1.2	1.06	1.22	1.29
"ENSG00000006555"	"TTC22"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006576"	"PHTF2"	28.09	28.79	24.66	19.8	18.74	19.97	10.34	15.46	18.75	22.81	21.81	23.71
"ENSG00000006606"	"CCL26"	0.06	0	0	0	0	0.03	0	0	0.05	0	0.03	0.03
"ENSG00000006607"	"FARP2"	22.54	24.5	22.09	16.49	18.09	18.03	11.93	13.02	15.52	15.36	16.74	17.86
"ENSG00000006611"	"USH1C"	0	0.01	0	0	0	0	0	0	0.01	0	0	0
"ENSG00000006625"	"GGCT"	44.25	45	38.61	28.94	26.04	31.06	24.12	30.36	34.77	39.8	39.38	40.16
"ENSG00000006634"	"DBF4"	31.74	38.13	29.39	25.38	24.74	26.86	20.52	24.47	28.25	22.4	21.96	22.07
"ENSG00000006638"	"TBXA2R"	1.54	1.73	1.55	0.98	1.2	1.16	0.28	0.35	0.69	0.44	0.55	0.5
"ENSG00000006652"	"IFRD1"	20.42	25.87	19.38	13.71	11.95	13.94	48.76	46.33	31.4	34.49	35.44	36.57
"ENSG00000006659"	"LGALS14"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006695"	"COX10"	7.61	7.64	7.53	5.26	5.76	5.11	5.51	5.87	6.26	4.98	5.45	5.71
"ENSG00000006704"	"GTF2IRD1"	8.92	9.03	8.33	8.15	8.57	8.56	7.11	8.63	9.24	10.7	10.08	10.83
"ENSG00000006712"	"PAF1"	20.77	21.32	18.18	18.48	18.83	17.94	14.71	17.16	17.28	19.58	19.34	22.17
"ENSG00000006715"	"VPS41"	16.64	13.93	15.64	10.82	11.5	10.73	13.7	15.96	19.33	17.39	18.74	19.45
"ENSG00000006740"	"ARHGAP44"	1.43	1.18	1.35	2.2	2.44	2.72	1.77	2.02	2.18	1.61	1.53	1.61
"ENSG00000006744"	"ELAC2"	48.53	48.78	42.66	39.87	44.18	39.29	25.38	32.32	38.38	28.74	31.83	31.81
"ENSG00000006747"	"SCIN"	0	0	0	0	0	0.03	0	0.01	0.03	0	0.01	0
"ENSG00000006756"	"ARSD"	6.41	5.32	5.45	7.12	6.37	7	10.48	12.12	12.63	5.69	5.7	5.89
"ENSG00000006757"	"PNPLA4"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006788"	"MYH13"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006831"	"ADIPOR2"	24.52	23.91	22.27	10.05	9.22	10.95	8.66	9.86	9.42	7.7	7.66	8.77
"ENSG00000006837"	"CDKL3"	1.93	1.6	1.43	1.38	1.32	1.5	4.86	4.34	3.53	1.29	1.42	1.57
"ENSG00000007001"	"UPP2"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000007038"	"PRSS21"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000007047"	"MARK4"	5.06	5.18	5.58	5.09	5.62	4.5	2.76	3.96	4.63	3.95	4.22	4.11
"ENSG00000007062"	"PROM1"	0	0	0.02	0.01	0	0	0.03	0.03	0.03	0	0	0
"ENSG00000007080"	"CCDC124"	39.91	40.81	32.36	29.14	30.19	30.81	21.76	28.74	32.62	26.95	23.12	28.7
"ENSG00000007129"	"CEACAM21"	0	0	0	0	0	0	0	0.01	0	0	0	0.01
"ENSG00000007168"	"PAFAH1B1"	74.48	78.19	69.16	56.16	53.83	58.23	78.66	85.41	80.89	69.17	70.66	76.19
"ENSG00000007171"	"NOS2"	0.01	0.01	0	0	0	0	0	0	0	0	0	0
"ENSG00000007174"	"DNAH9"	0	0	0	0	0.05	0.01	0	0	0	0	0	0
"ENSG00000007202"	"KIAA0100"	39.56	41.95	38.95	37.14	36.48	38.59	24.14	30.14	34.26	32.65	32.35	35.82
"ENSG00000007216"	"SLC13A2"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000007237"	"GAS7"	0.02	0.07	0.08	0	0	0	0	0	0	0	0	0
"ENSG00000007255"	"TRAPPC6A"	10.03	8.52	8.27	8.66	9.09	9.19	9.54	10.13	9.79	6.21	6.7	7.08
"ENSG00000007264"	"MATK"	6.56	6.13	5.66	3.9	4.14	4.51	0.98	1.23	1.88	2.8	2.77	2.94
"ENSG00000007306"	"CEACAM7"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000007312"	"CD79B"	0	0.01	0	0	0.02	0.01	0.01	0.05	0.01	0	0	0
"ENSG00000007314"	"SCN4A"	0.03	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000007341"	"ST7L"	8.75	9.32	6.39	3.65	3.64	4.37	6.82	7.22	7.42	2.63	2.77	3.7
"ENSG00000007350"	"TKTL1"	0	0	0	0	0	0	0.03	0.01	0	0	0	0
"ENSG00000007372"	"PAX6"	6.87	6.39	6.84	4.49	4.67	4.62	3.85	4.32	4.92	3.86	3.58	4.28
"ENSG00000007376"	"RPUSD1"	14.14	14.79	12.49	12.22	13.24	12.4	6.25	7.85	9.13	8.98	8.64	9.11
"ENSG00000007384"	"RHBDF1"	2.71	2.98	3.46	5.11	4.42	4.22	2.85	3.36	3.17	3.59	3.95	4.22
"ENSG00000007392"	"LUC7L"	10.46	13.6	10.47	8.26	7.25	7.34	10.11	13.29	10.89	9.89	9.7	10.95
"ENSG00000007402"	"CACNA2D2"	0.24	0.17	0.19	0.5	0.51	0.5	0.22	0.31	0.35	0.2	0.15	0.12
"ENSG00000007516"	"BAIAP3"	1.31	1.66	1.71	4.2	3.15	3.33	1.87	1.67	1.55	2.31	2.39	3.05
"ENSG00000007520"	"TSR3"	25.48	26.23	21.63	18.23	20.31	19.95	12.75	16.55	20.4	15.64	14.28	15.5
"ENSG00000007541"	"PIGQ"	9.76	9.82	9.8	11.11	10.64	10.57	4.06	5.7	5.85	4.79	4.99	5.39
"ENSG00000007545"	"CRAMP1"	2.31	2.92	2.8	1.84	1.98	1.52	1.64	1.74	2.03	2.36	2.33	2.72
"ENSG00000007866"	"TEAD3"	2.2	2.41	2.22	2.82	3.02	2.71	1.88	2.13	2.45	2.42	2.44	2.58
"ENSG00000007908"	"SELE"	0	0	0	0	0	0	0	0	0	0	0.01	0
"ENSG00000007923"	"DNAJC11"	25.92	28	25.48	18.91	19.64	19.08	16.27	20.14	22.36	22.27	22.6	25.62
"ENSG00000007933"	"FMO3"	0.01	0	0	0	0	0	0	0	0	0	0.02	0
"ENSG00000007944"	"MYLIP"	3.6	3.38	3.04	2.67	2.28	2.43	6.48	5.14	4.04	3.42	3.37	4.05
"ENSG00000007952"	"NOX1"	0.02	0.02	0.02	0	0	0.01	0.02	0.02	0.02	0.02	0.01	0
"ENSG00000007968"	"E2F2"	4.86	4.62	4.76	5.51	5.51	5.91	0.91	1.69	2.39	1.04	1.11	1.25
"ENSG00000008018"	"PSMB1"	278.88	268.47	220.96	165.28	178.16	185.54	168.71	208.64	217.92	150.46	149.15	156.74
"ENSG00000008056"	"SYN1"	0.05	0.05	0.07	0.06	0.05	0.07	0.06	0.05	0.04	0	0.01	0.02
"ENSG00000008083"	"JARID2"	1.93	2.02	2.01	1.75	1.67	1.79	1.5	1.28	1.22	1.19	1.16	1.39
"ENSG00000008086"	"CDKL5"	0.69	0.55	0.7	0.17	0.11	0.09	0.44	0.38	0.27	0.05	0.11	0.11
"ENSG00000008118"	"CAMK1G"	0.1	0.16	0.1	2.24	2.19	2.54	0	0.01	0.01	0.55	0.43	0.67
"ENSG00000008128"	"CDK11A"	8.56	10.19	10.84	8.84	8.68	7.72	7.82	8.23	7.61	9.16	9.47	9.83
"ENSG00000008130"	"NADK"	30.43	27.84	29.26	31.77	31.36	32.83	21.45	24.12	23.36	27.11	28.39	29.41
"ENSG00000008196"	"TFAP2B"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000008197"	"TFAP2D"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000008226"	"DLEC1"	0.03	0.02	0.04	0.05	0.03	0.03	0	0.01	0.03	0.03	0.02	0.02
"ENSG00000008256"	"CYTH3"	6.3	6.35	5.69	5.45	5.79	5.22	4.28	5.72	6.71	7.8	7.56	8.01
"ENSG00000008277"	"ADAM22"	3.07	2.69	3.01	1.48	1.35	1.52	1.14	1.65	1.6	1.12	0.87	1.12
"ENSG00000008282"	"SYPL1"	33.3	31.94	24.58	17.87	16.22	20.19	14.13	17.29	21.62	15.02	15.29	18.15
"ENSG00000008283"	"CYB561"	14.13	14.05	14.39	10.28	9.83	10.05	11.46	10.58	8.81	6.15	6.96	7.05
"ENSG00000008294"	"SPAG9"	41.43	45.04	42.9	32.12	32.09	33.24	63.78	64.55	62.72	80.7	83.57	89.08
"ENSG00000008300"	"CELSR3"	0.37	0.34	0.4	0.54	0.49	0.64	0.34	0.57	0.36	0.29	0.23	0.24
"ENSG00000008311"	"AASS"	0.51	0.53	0.51	0.76	0.59	0.76	1.36	1.34	1.3	0.78	0.84	1.05
"ENSG00000008323"	"PLEKHG6"	0.31	0.48	0.39	0.2	0.17	0.18	0.21	0.15	0.25	0.15	0.08	0.13
"ENSG00000008324"	"SS18L2"	13.4	13.91	11.53	10.78	9.82	11.86	8.82	10.78	9.66	9.59	10.54	11.1
"ENSG00000008382"	"MPND"	2.35	2.63	2.49	3.34	3.17	3.1	1.21	1.4	1.45	2.97	3.12	2.96
